fold,elpd_weibull,elpd_exponential,elpd_logistic
1,-1066.4926950991949,-1144.534644242386,-1061.4055289493188
2,-1129.7500030764427,-1204.5220708012798,-1088.2095576761392
3,-1021.3780321228332,-1100.3401555074784,-1009.9498319133613
4,-1050.072071229384,-1103.1612696481857,-1047.7417968581221
5,-1023.2289136540746,-1099.7985161430934,-1009.9711754692925
