p,mean_log_ratio,p16_log_ratio,p84_log_ratio
0.0001,4.926974977817289,4.926974977817289,4.926974977817289
0.00010392891264332541,4.89177068171775,4.89177068171775,4.89177068171775
0.00010801218883223963,4.85660057886871,4.85660057886871,4.85660057886871
0.00011225589337560201,4.821464953073913,4.821464953073913,4.821464953073913
0.00011666632936331394,4.786364091571085,4.786364091571085,4.786364091571085
0.00012125004752817284,4.751298285084525,4.751298285084525,4.751298285084525
0.0001260138559755453,4.716267827878642,4.716267827878642,4.716267827878642
0.00013096483029531036,4.6812730178124475,4.6812730178124475,4.6812730178124475
0.00013611032407109247,4.646314156395031,4.646314156395031,4.646314156395031
0.0001414579798023928,4.611391548842011,4.611391548842011,4.611391548842011
0.00014701574025584172,4.576505504133014,4.576505504133014,4.576505504133014
0.00015279186026243209,4.5416563350701775,4.5416563350701775,4.5416563350701775
0.00015879491897825487,4.506844358337729,4.506844358337729,4.506844358337729
0.00016503383262694987,4.472069894562605,4.472069894562605,4.472069894562605
0.0001715178677427946,4.4373332683761895,4.4373332683761895,4.4373332683761895
0.0001782566549341034,4.402634808477179,4.402634808477179,4.402634808477179
0.00018526020318737835,4.367974847695573,4.367974847695573,4.367974847695573
0.0001925389147334576,4.333353723057831,4.333353723057831,4.333353723057831
0.00020010360049774195,4.298771775853231,4.298771775853231,4.298771775853231
0.0002079654961574471,4.264229351701425,4.264229351701425,4.264229351701425
0.00021613627882973146,4.2297268006212425,4.2297268006212425,4.2297268006212425
0.00022462808441548582,4.195264477100755,4.195264477100755,4.195264477100755
0.00023345352562454552,4.160842740168624,4.160842740168624,4.160842740168624
0.0002426257107090972,4.126461953466777,4.126461953466777,4.126461953466777
0.0002521582629331051,4.0921224853244045,4.0921224853244045,4.0921224853244045
0.00026206534080667354,4.057824708833355,4.057824708833355,4.057824708833355
0.00027236165911540076,4.023569001924907,4.023569001924907,4.023569001924907
0.0002830625107759566,3.9893557474479775,3.9893557474479775,3.9893557474479775
0.0002941837895503475,3.9551853332487954,3.9551853332487954,3.9551853332487954
0.00030574201365260494,3.9210581522520522,3.9210581522520522,3.9210581522520522
0.00031775435028296014,3.8869746025435723,3.8869746025435723,3.8869746025435723
0.00033023864112594357,3.85293508745456,3.85293508745456,3.85293508745456
0.00034321342885028713,3.8189400156473985,3.8189400156473985,3.8189400156473985
0.00035669798464997636,3.784989801203093,3.784989801203093,3.784989801203093
0.0003707123368673766,3.7510848637103584,3.7510848637103584,3.7510848637103584
0.00038527730074092604,3.7172256283563994,3.7172256283563994,3.7172256283563994
0.0004004145093215991,3.6834125260194295,3.6834125260194295,3.6834125260194295
0.0004161464456040448,3.6496459933629235,3.6496459933629235,3.6496459933629235
0.0004324964759201314,3.61592647293172,3.61592647293172,3.61592647293172
0.0004494888846444943,3.5822544132499186,3.5822544132499186,3.5822544132499186
0.0004671489102636342,3.5486302689207054,3.5486302689207054,3.5486302689207054
0.000485502782862139,3.5150545007280702,3.5150545007280702,3.5150545007280702
0.0005045777630817063,3.4815275757405186,3.4815275757405186,3.4815275757405186
0.0005244021826108319,3.448049967416782,3.448049967416782,3.448049967416782
0.0005450054862653033,3.4146221557135936,3.4146221557135936,3.4146221557135936
0.0005664182757219979,3.3812446271955805,3.3812446271955805,3.3812446271955805
0.0005886723549709454,3.347917875147288,3.347917875147288,3.347917875147288
0.0006118007775531602,3.314642399687437,3.314642399687437,3.314642399687437
0.0006358378956544095,3.281418707885412,3.281418707885412,3.281418707885412
0.0006608194111278298,3.2482473138800834,3.2482473138800834,3.2482473138800834
0.0006867824285211796,3.2151287390009764,3.2151287390009764,3.2151287390009764
0.0007137655101874863,3.182063511891863,3.182063511891863,3.182063511891863
0.0007418087335609377,3.149052168636845,3.149052168636845,3.149052168636845
0.0007709537506831064,3.116095252888954,3.116095252888954,3.116095252888954
0.0008012438500678855,3.083193316001375,3.083193316001375,3.083193316001375
0.0008327240209970708,3.050346917161315,3.050346917161315,3.050346917161315
0.0008654410203420317,3.017556623526617,3.017556623526617,3.017556623526617
0.0008994434420107751,2.984823010365159,2.984823010365159,2.984823010365159
0.0009347817891234976,2.9521466611971294,2.9521466611971294,2.9521466611971294
0.0009715085490238742,2.919528167940251,2.919528167940251,2.919528167940251
0.0010096782712374604,2.886968131058,2.886968131058,2.886968131058
0.0010493476484930184,2.854467159710948,2.854467159710948,2.854467159710948
0.0010905756009270985,2.822025871911251,2.822025871911251,2.822025871911251
0.0011334233635969452,2.78964489468043,2.78964489468043,2.78964489468043
0.0011779545774317098,2.7573248642104757,2.7573248642104757,2.7573248642104757
0.0012242353837570547,2.7250664260283917,2.7250664260283917,2.7250664260283917
0.001272334522533549,2.6928702351642837,2.6928702351642837,2.6928702351642837
0.0013223234344547634,2.660736956323051,2.660736956323051,2.660736956323051
0.0013742763670567114,2.628667264059835,2.628667264059835,2.628667264059835
0.0014282704849962356,2.5966618429592763,2.5966618429592763,2.5966618429592763
0.0014843859846621395,2.5647213878187265,2.5647213878187265,2.5647213878187265
0.001542706213289279,2.5328466038355053,2.5328466038355053,2.5328466038355053
0.00160331779275257,2.5010382067983423,2.5010382067983423,2.5010382067983423
0.0016663107482247097,2.4692969232830984,2.4692969232830984,2.4692969232830984
0.0017317786418888023,2.437623490852916,2.437623490852916,2.437623490852916
0.0017998187119043787,2.406018658262925,2.406018658262925,2.406018658262925
0.0018705320168333282,2.374483185669642,2.374483185669642,2.374483185669642
0.0019440235857401407,2.3430178448452006,2.3430178448452006,2.3430178448452006
0.002020402574189515,2.311623419396569,2.311623419396569,2.311623419396569
