alias,logistic,weibull
Claude 3 Opus,1025.468309207572,200.15315574350538
Claude 3.5 Sonnet (New),5102.556473405666,867.5333690824147
Claude 3.5 Sonnet (Old),2338.210195147045,589.8838575193301
Claude 3.7 Sonnet,2095.644145455685,667.1546491424282
GPT-2,84.72824491969313,6.55173860247414
GPT-4 0125,320.2616365285515,116.73353663783183
GPT-4 0314,775.3016928116539,161.38701017750824
GPT-4 1106,1944.282976405946,290.28242178515063
GPT-4 Turbo,336.8177024672641,107.67033952268532
GPT-4o,1543.4182393352844,250.47565110644533
davinci-002 (GPT-3),4.481858778689632,1.7324906279281165
human,4678585.250662855,28030.467200075236
o1,10776.354798311466,1230.8911790790423
o1-preview,2441.2849954237713,497.7898202406761
