alias,t_min,t_start,t_max,t_divergence,t_at_max_diff,max_abs_diff,divergence_reached,t_plot,within_observed,beyond_observed
o1-preview,0.0199203547,47.0,1111.887,47.00000000000001,47.00000000000001,0.05228232390614718,True,47.00000000000001,True,False
Claude 3.5 Sonnet (New),0.0199203547,49.354,1111.887,49.354000000000006,49.354000000000006,0.057057581145187386,True,49.354000000000006,True,False
Claude 3.5 Sonnet (Old),0.0199203547,49.354,1111.887,49.354000000000006,49.354000000000006,0.06385266372025966,True,49.354000000000006,True,False
Claude 3.7 Sonnet,0.0199203547,52.14,1111.887,52.14000000000001,83.81246774477106,0.07155976868976982,True,52.14000000000001,True,False
o1,0.0199203547,52.14,1111.887,545.7700325801725,793.8709259735745,0.05511810781464989,True,545.7700325801725,True,False
human,0.0199203547,95.218,1111.887,1201.3059354425966,9258.008606684667,0.09511761144578759,True,1201.3059354425966,False,True
Claude 3 Opus,0.0199203547,49.354,1111.887,,156.72627420733644,0.035536200459496584,False,156.72627420733644,True,False
GPT-2,0.0199203547,0.1959773784,1080.0,,3.353988610746282,0.03860100557660681,False,3.353988610746282,True,False
GPT-4 0125,0.0199203547,49.354,1111.887,,110.25902553958241,0.021809786138955442,False,110.25902553958241,True,False
GPT-4 0314,0.0199203547,49.354,1111.887,,131.4552633809324,0.034740413564601336,False,131.4552633809324,True,False
GPT-4 1106,0.0199203547,49.354,1111.887,,211.86110438461685,0.04098077570046917,False,211.86110438461685,True,False
GPT-4 Turbo,0.0199203547,49.354,1111.887,,92.4805321618006,0.029340540387280033,False,92.4805321618006,True,False
GPT-4o,0.0199203547,47.284,1111.887,,184.63966587720762,0.04279426630823255,False,184.63966587720762,True,False
davinci-002 (GPT-3),0.0199203547,45.263,1080.0,,45.26299999999999,0.0004560927143000608,False,45.26299999999999,True,False
