alias,logistic,weibull
Claude 3 Opus,7.373517435645658,10.02258461044552
Claude 3.5 Sonnet (New),28.757657859279384,37.153030952804265
Claude 3.5 Sonnet (Old),18.402210096165785,23.965141109180262
Claude 3.7 Sonnet,60.71576437739986,75.59141731238381
GPT-2,0.04198351036377335,0.04101337405143767
GPT-4 0125,6.205365129726777,8.018193379144865
GPT-4 0314,6.487387909956956,9.088162376770047
GPT-4 1106,9.011335782636909,12.142719086917483
GPT-4 Turbo,7.585792341098003,9.610076876473462
GPT-4o,10.028432765688759,13.200920475150792
davinci-002 (GPT-3),0.14503814115324015,0.17274677909160496
human,175.44742425945856,184.61414157310907
o1,49.57812344879163,61.699638638136726
o1-preview,26.990420028340097,33.3978577592519
