alias,logistic,weibull
Claude 3 Opus,145713.0506330667,598.8813221473796
Claude 3.5 Sonnet (New),926000.5591921097,2748.661698426204
Claude 3.5 Sonnet (Old),303427.5570891041,1905.3804473007272
Claude 3.7 Sonnet,73456.11601180385,1480.4723932411312
GPT-2,176751.35755412126,41.96402637970035
GPT-4 0125,16815.018072497387,311.1225265187181
GPT-4 0314,94604.90824532384,462.5758812920877
GPT-4 1106,429426.2487386078,927.6711350024295
GPT-4 Turbo,15204.050262085742,260.73305159733104
GPT-4o,242803.19169024084,735.5465295085643
davinci-002 (GPT-3),140.57864836308315,4.028671454523983
human,130420696239.94633,176227.72455198882
o1,2397874.6127605117,3681.5852145409294
o1-preview,225186.71400415374,1338.1917758837449
