alias,logistic,weibull
Claude 3 Opus,0.696384631072734,0.509744781281034
Claude 3.5 Sonnet (New),2.4173774473105514,1.617375576822427
Claude 3.5 Sonnet (Old),1.814699640017765,0.9899676026725032
Claude 3.7 Sonnet,11.165452163787517,8.662272767225963
GPT-2,0.0011034895896264686,0.0002635977711425394
GPT-4 0125,0.9414483848467652,0.5584702752840897
GPT-4 0314,0.6587640516474045,0.5194867109191944
GPT-4 1106,0.6898691494046817,0.5163840114738104
GPT-4 Turbo,1.2367307012109436,0.8685790293998569
GPT-4o,0.9023329858713076,0.7064529417874508
davinci-002 (GPT-3),0.028120832402964077,0.017432143363732052
human,1.342162484144448,1.2480507792778717
o1,3.7820913236823444,3.1412249170964137
o1-preview,3.131293643886405,2.2724110807753526
