alias,logistic,weibull
Claude 3 Opus,1.6637259481958668,1.6698017735195954
Claude 3.5 Sonnet (New),6.029009217400719,5.636816476316903
Claude 3.5 Sonnet (Old),4.26691013216487,3.523032094033902
Claude 3.7 Sonnet,20.859306099736507,20.53112247313855
GPT-2,0.004226820732786436,0.001968391190325905
GPT-4 0125,1.8882273302882218,1.614052840046575
GPT-4 0314,1.5322940718297928,1.6243526043744339
GPT-4 1106,1.7809732815752557,1.8165314534007544
GPT-4 Turbo,2.4154680651202938,2.2628226919903662
GPT-4o,2.194648347184994,2.2677205060998578
davinci-002 (GPT-3),0.05151975214038254,0.04346380602189068
human,8.107443343421856,9.133932593568153
o1,9.77663597210446,10.285716595999597
o1-preview,6.933999219193176,6.629028630666333
