alias,logistic,weibull
Claude 3 Opus,0.004428315709872174,0.0003232266979390395
Claude 3.5 Sonnet (New),0.01197603853841062,0.0006981774964303692
Claude 3.5 Sonnet (Old),0.012659162483196125,0.0003753829743975969
Claude 3.7 Sonnet,0.29618725427741854,0.040914192574306577
GPT-2,4.5240915658286886e-07,1.005444895943947e-09
GPT-4 0125,0.016535403716590617,0.0007703840097921619
GPT-4 0314,0.004893340334091844,0.0004396649347293282
GPT-4 1106,0.00279694994125123,0.00021038401924170248
GPT-4 Turbo,0.025343348112466062,0.002281631053896839
GPT-4o,0.005171989149804305,0.0005080232863375457
davinci-002 (GPT-3),0.0008355154120122742,6.013020808123667e-05
human,3.905159587687344e-05,5.39401067350843e-06
o1,0.015218033092015863,0.0019968684153952748
o1-preview,0.030945951485838438,0.0029586277222904828
