alias,logistic,weibull
Claude 3 Opus,0.053018468621213594,0.012410159492332092
Claude 3.5 Sonnet (New),0.16207618472459492,0.03243176034806153
Claude 3.5 Sonnet (Old),0.14482929598300287,0.01859396290845307
Claude 3.7 Sonnet,1.7590792081402513,0.5808930941705279
GPT-2,2.0803158900974576e-05,4.862077293384518e-07
GPT-4 0125,0.12023468315036899,0.020125547152080595
GPT-4 0314,0.05428364504355574,0.014630866490429563
GPT-4 1106,0.04176561414817324,0.010056800801794892
GPT-4 Turbo,0.1708468557939111,0.04332146575936626
GPT-4o,0.06516021462805373,0.0183265693470564
davinci-002 (GPT-3),0.004693602236913312,0.0009975612996397096
human,0.006579296310763457,0.0024518422163137495
o1,0.22809107260358255,0.07657316861651385
o1-preview,0.2984013643109163,0.0795367093277086
