alias,p50_logistic,p50_weibull,p80_logistic,p80_weibull
Claude 3 Opus,7.373517435645658,10.02258461044552,1.6637259481958668,1.6698017735195954
Claude 3.5 Sonnet (New),28.757657859279384,37.153030952804265,6.029009217400719,5.636816476316903
Claude 3.5 Sonnet (Old),18.402210096165785,23.965141109180262,4.26691013216487,3.523032094033902
Claude 3.7 Sonnet,60.71576437739986,75.59141731238381,20.859306099736507,20.53112247313855
GPT-2,0.04198351036377335,0.04101337405143767,0.004226820732786436,0.001968391190325905
GPT-4 0125,6.205365129726777,8.018193379144865,1.8882273302882218,1.614052840046575
GPT-4 0314,6.487387909956956,9.088162376770047,1.5322940718297928,1.6243526043744339
GPT-4 1106,9.011335782636909,12.142719086917483,1.7809732815752557,1.8165314534007544
GPT-4 Turbo,7.585792341098003,9.610076876473462,2.4154680651202938,2.2628226919903662
GPT-4o,10.028432765688759,13.200920475150792,2.194648347184994,2.2677205060998578
davinci-002 (GPT-3),0.14503814115324015,0.17274677909160496,0.05151975214038254,0.04346380602189068
human,175.44742425945856,184.61414157310907,8.107443343421856,9.133932593568153
o1,49.57812344879163,61.699638638136726,9.77663597210446,10.285716595999597
o1-preview,26.990420028340097,33.3978577592519,6.933999219193176,6.629028630666333
