fold,elpd_weibull,elpd_exponential,elpd_logistic
1,-1065.0229524594013,-1162.723422860328,-1060.2252061301601
2,-1123.33519601119,-1226.6265470512458,-1086.8801881664438
3,-1019.991182570199,-1103.2176959984297,-1008.2901485823417
4,-1049.254968414609,-1118.2068984638636,-1047.5042863215017
5,-1022.0369649645559,-1104.4316344956915,-1008.4939249732124
