,mean,std,se
elpd_weibull,-1055.928252883991,42.16347556625929,18.85607950676144
elpd_exponential,-1143.0412397739117,52.600505440953775,23.523661163364036
elpd_logistic,-1042.278750834732,34.0415526688094,15.22384516541944
