p,mean_log_ratio,p16_log_ratio,p84_log_ratio
0.0001,6.910558864133307,5.156869044260941,6.9349848126112805
0.00010392887350476948,6.869279869790513,5.125588912778411,6.894012088541781
0.00010801210747970387,6.828032300774042,5.094332996870187,6.85306951558747
0.0001122557665524171,6.786816416807718,5.063101496738333,6.812157342771968
0.0001166661536220709,6.745632480719876,5.031894614980219,6.7712758220896525
0.00012124981922076222,6.704480758489599,5.000712556624267,6.730425208549695
0.00012601357124270764,6.663361519293742,4.969555529166321,6.6896057602208305
0.0001309644850556762,6.622275035554701,4.938423742606597,6.64881773827686
0.0001361099140096866,6.58122158298905,4.9073174094872964,6.608061407042941
0.0001414575003585777,6.54020144065695,4.876236744930824,6.567337034042608
0.00014701518661067506,6.499214891012403,4.84518196667867,6.526644890045616
0.00015279122732540944,6.458262219954366,4.814153295130944,6.485985249116556
0.00015879420137340956,6.41734371687872,4.783150953386598,6.445358388664297
0.00016503302467827974,6.376459674731097,4.752175167284303,6.404764589492241
0.00017151696345898436,6.335610390060649,4.721226165444043,6.364204135849424
0.00017825564799250974,6.294796163074662,4.690304179309409,6.323677315482475
0.0001852590869172426,6.254017297694162,4.659409443190616,6.283184419688439
0.00019253768209831222,6.213274101610409,4.628542194308252,6.242725743368486
0.00020010224407697008,6.172566886342374,4.59770267283777,6.202301585082504
0.00020796400812695933,6.131895967295196,4.566891121954743,6.161912247104638
0.0002161346509417161,6.09126166381961,4.536107787880897,6.12155803547973
0.0002246263079771914,6.050664299272401,4.5053529199309095,6.081239260080703
0.00023345159147604918,6.010104201077892,4.474626770560052,6.040956234666946
0.00024262360920001438,5.969581700790452,4.4439295954125955,6.000709276943622
0.00025215598389818943,5.929097134158098,4.413261653371089,5.960498708622018
0.0002620628735402562,5.888650841187156,4.3826232066064605,5.920324855480882
0.0002723589923446169,5.8482431662080385,4.352014520628978,5.880188047428792
0.000283059632632702,5.807874457942148,4.321435864340107,5.840088618567587
0.00029418068754190606,5.767545069569901,4.290887510085239,5.800026907256839
0.0003057386746308887,5.727255358799945,4.260369733707329,5.760003256179444
0.00031775076041229536,5.687005687939526,4.229882814601466,5.720018012408269
0.0003302347858493376,5.646796423966092,4.199427035770392,5.680071527473965
0.0003432092928541045,5.606627938600097,4.1690026838809535,5.6401641574338965
0.0003566935518269561,5.566500608379063,4.138610049321556,5.60029626294223
0.00037070759027790697,5.526414814732923,4.108249426260593,5.560468209321216
0.00038527222257250506,5.486370944060638,4.077921112705905,5.52068036663367
0.0004004090808463931,5.446369387808138,4.047625410565248,5.480933109756655
0.00041614064713445806,5.406410542547618,4.01736262570783,5.441226818456443
0.00043249028676230005,5.366494810058168,3.9871330680269073,5.401561877464706
0.00044948228304960564,5.326622597407826,3.956937051503471,5.361938676556015
0.00046714187337697504,5.28679431703702,3.9267748942710448,5.322357610626631
0.0004854952866697668,5.247010386843477,3.8966469186816095,5.28281907977467
0.0005045697823546404,5.20727123026857,3.866553451372688,5.243323489381557
0.0005243936908466449,5.167577276385181,3.836494823335587,5.203871250194917
0.0005449964556270016,5.127928959987088,3.8064713699848505,5.164462778412844
0.0005664086769740636,5.08832672167988,3.7764834312289177,5.125098495769608
0.0005886621574124136,5.0487710079734835,3.7465313515420386,5.0857788296228
0.0006117899489475943,5.009262271376282,3.716615480037434,5.046504213042002
0.0006358264021566397,4.969800970490867,3.686736170541764,5.007275084898891
0.000660807217207301,4.930387570111483,3.6568937816709086,4.96809188995896
0.0006867694968817632,4.89102254132316,3.6270886769070674,4.92895507897473
0.0007137518016835895,4.851706361602589,3.5973212246772595,4.889865108780622
0.0007417942071097516,4.812439514920763,3.5675917984331984,4.850822442389379
0.0007709383631728015,4.77322249184744,3.537900776732591,4.811827549090198
0.0008012275562616012,4.734055789657416,3.5082485433218853,4.77288090454851
0.0008327067734324762,4.694939912438704,3.4786354872205045,4.733982990907484
0.0008654227692262856,4.655875371202619,3.4490620028066,4.6951342968912915
0.0008994241351106594,4.616862683995807,3.4195284899043195,4.656335317910116
0.0009347613716505241,4.577902376014278,3.3900353538726784,4.6175865561670095
0.0009714869635141225,4.5389949797194715,3.360583005696017,4.5788885207665775
0.0010096554574259183,4.5001410349564015,3.3311718620761206,4.540241727825575
0.0010493235431821854,4.461341089073909,3.3018023455259864,4.501646700585388
0.0010905501378495788,4.422595697047095,3.2724748844653373,4.463103969526516
0.001133396473271778,4.38390542160196,3.2431899133178597,4.424614072485031
0.0011779261870141446,4.345270833342291,3.213947872610246,4.386177554771078
0.0012242054168814858,4.306692510878888,3.1847492090730602,4.347794969289481
0.0012723028991492953,4.268171040961109,3.155594375743475,4.309466876662469
0.0013222900706543873,4.229707018610865,3.1264838320699284,4.271193845354562
0.0013742411748965252,4.191301047259068,3.0974180440187307,4.232976451799701
0.0014282333723086677,4.152953738884601,3.068397484182682,4.194815280530633
0.0014843468548595786,4.114665714155873,3.0394226318917426,4.156710924310621
0.0015426649651590358,4.076437602575032,3.0104939733257994,4.118663984267532
0.0016032743202425322,4.038270042624876,2.981612001629603,4.080675070030335
0.0016662649402193158,4.000163681918535,2.952777217029888,4.0427447998681165
0.0017317303819748555,3.9621191773520157,2.923990126954785,4.004873800831592
0.001799767878126309,3.9241371952596404,2.895251246155529,3.967062708897269
0.0018704784814373653,3.8862184115724894,2.8665610968305626,3.929312169114222
0.0019439672149069726,3.8483635119799127,2.8379202087520983,3.89162283575366
0.00202034322775486,3.810573192094178,2.8093291193951586,3.853995372461257
0.0020997199575355273,3.7728481576183763,2.780788374069233,3.8164304524123613
