alias,p99_logistic,p99_weibull
Claude 3 Opus,0.020033406656887576,0.0045662412723674484
Claude 3.5 Sonnet (New),0.09442112679865587,0.015055671394289137
Claude 3.5 Sonnet (Old),0.06828008684363482,0.012502097597998514
Claude 3.7 Sonnet,2.1327560914408554,0.8661568250221612
GPT-2,2.477318448288767e-06,4.575674983413835e-08
GPT-4 0125,0.04970152624801079,0.01342035339175309
GPT-4 0314,0.020962281486293862,0.0050374585512292765
GPT-4 1106,0.03418157299909312,0.005496617033930332
GPT-4 Turbo,0.08768373911052306,0.02411526315964298
GPT-4o,0.03653662712312738,0.006371209675242692
davinci-002 (GPT-3),0.0036209404268724285,0.0011591349423542307
human,0.004493537133874654,0.0011548537645061315
o1,0.1776171858544885,0.04409282225858772
o1-preview,0.16161210460391093,0.029148071259594607
