,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],0.583,0.021,0.544,0.624,0.0,0.0,5779.0,3652.0,1.0
k[1],0.864,0.454,0.27,1.757,0.009,0.018,2486.0,2863.0,1.0
k[2],1.002,0.314,0.568,1.56,0.008,0.036,1958.0,2796.0,1.0
