,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],0.583,0.021,0.542,0.623,0.0,0.0,2670.0,2075.0,1.0
k[1],0.859,0.394,0.3,1.722,0.013,0.015,1089.0,994.0,1.0
k[2],0.992,0.283,0.561,1.574,0.009,0.006,783.0,557.0,1.0
