,mean,std,se
elpd_weibull,-1058.1843430363858,44.25231047981025,19.79023487885641
elpd_exponential,-1130.4713312684846,45.48581538050459,20.341875040562744
elpd_logistic,-1043.4555781732467,33.86492042547755,15.14485282479778
