fold,alias,model,elpd
3,GPT-4 Turbo,weibull,-60.17561397684358
3,GPT-4 Turbo,exponential,-62.43276028389321
3,GPT-4 Turbo,logistic,-58.231663173821666
3,GPT-4o,weibull,-87.97572404170404
3,GPT-4o,exponential,-96.89607142363597
3,GPT-4o,logistic,-88.37581058841442
3,davinci-002 (GPT-3),weibull,-65.08002760245351
3,davinci-002 (GPT-3),exponential,-66.02062557853847
3,davinci-002 (GPT-3),logistic,-66.46980972779872
3,gpt-3.5-turbo-instruct,weibull,-25.32536977718023
3,gpt-3.5-turbo-instruct,exponential,-25.287252943285967
3,gpt-3.5-turbo-instruct,logistic,-23.41704250469293
3,o1,weibull,-95.38582200843229
3,o1,exponential,-105.31260689444575
3,o1,logistic,-96.62490544982158
3,o1-preview,weibull,-80.05384047195375
3,o1-preview,exponential,-85.91343359381187
3,o1-preview,logistic,-79.23847247818166
4,Claude 3 Opus,weibull,-74.3969774924702
4,Claude 3 Opus,exponential,-78.75828086282164
4,Claude 3 Opus,logistic,-74.76581847408251
4,Claude 3.5 Sonnet (New),weibull,-78.8881034518256
4,Claude 3.5 Sonnet (New),exponential,-85.71916540230129
4,Claude 3.5 Sonnet (New),logistic,-77.07805896140151
4,Claude 3.5 Sonnet (Old),weibull,-103.29337653242249
4,Claude 3.5 Sonnet (Old),exponential,-124.06360859622919
4,Claude 3.5 Sonnet (Old),logistic,-100.14902059777197
4,Claude 3.7 Sonnet,weibull,-51.4357625647263
4,Claude 3.7 Sonnet,exponential,-50.876917025286446
4,Claude 3.7 Sonnet,logistic,-53.616728593589045
4,GPT-2,weibull,-97.46877501936328
4,GPT-2,exponential,-96.96344401052306
4,GPT-2,logistic,-97.4083769380797
4,GPT-4 0125,weibull,-66.27745676148231
4,GPT-4 0125,exponential,-68.45184494605596
4,GPT-4 0125,logistic,-62.86524058513325
4,GPT-4 0314,weibull,-68.10940637963462
4,GPT-4 0314,exponential,-71.8325699235336
4,GPT-4 0314,logistic,-67.92563328900431
4,GPT-4 1106,weibull,-97.03029864586894
4,GPT-4 1106,exponential,-102.90789457908741
4,GPT-4 1106,logistic,-99.28387905898279
4,GPT-4 Turbo,weibull,-70.45165681571379
4,GPT-4 Turbo,exponential,-69.09648424091955
4,GPT-4 Turbo,logistic,-73.41737855061372
4,GPT-4o,weibull,-74.03213169760679
4,GPT-4o,exponential,-74.86288225389296
4,GPT-4o,logistic,-74.72295878634529
4,davinci-002 (GPT-3),weibull,-72.60357205845885
4,davinci-002 (GPT-3),exponential,-73.29568924344571
4,davinci-002 (GPT-3),logistic,-72.56699286858225
4,gpt-3.5-turbo-instruct,weibull,-33.891759642357215
4,gpt-3.5-turbo-instruct,exponential,-34.03329644948167
4,gpt-3.5-turbo-instruct,logistic,-31.826395485736924
4,o1,weibull,-91.36778192682971
4,o1,exponential,-102.13593057926259
4,o1,logistic,-91.38610670018777
4,o1-preview,weibull,-70.82501224062393
4,o1-preview,exponential,-70.1632615353446
4,o1-preview,logistic,-70.72920796861101
5,Claude 3 Opus,weibull,-73.5597589364605
5,Claude 3 Opus,exponential,-82.22394226896779
5,Claude 3 Opus,logistic,-71.24605234449393
5,Claude 3.5 Sonnet (New),weibull,-107.93015167657057
5,Claude 3.5 Sonnet (New),exponential,-127.68901274626559
5,Claude 3.5 Sonnet (New),logistic,-107.22903132979388
5,Claude 3.5 Sonnet (Old),weibull,-84.26676767050904
5,Claude 3.5 Sonnet (Old),exponential,-89.46564092095329
5,Claude 3.5 Sonnet (Old),logistic,-83.57527365226507
5,Claude 3.7 Sonnet,weibull,-59.447164216650044
5,Claude 3.7 Sonnet,exponential,-59.03416686929513
5,Claude 3.7 Sonnet,logistic,-61.75433106008603
5,GPT-2,weibull,-90.59917629707552
5,GPT-2,exponential,-90.31294734506592
5,GPT-2,logistic,-91.78987042220122
5,GPT-4 0125,weibull,-76.34110917900047
5,GPT-4 0125,exponential,-92.69146027057681
5,GPT-4 0125,logistic,-66.95493112926027
5,GPT-4 0314,weibull,-72.73130650933307
5,GPT-4 0314,exponential,-81.3125805937546
5,GPT-4 0314,logistic,-71.06216242108819
5,GPT-4 1106,weibull,-83.30235287167078
5,GPT-4 1106,exponential,-87.30725940861878
5,GPT-4 1106,logistic,-84.59671463527475
5,GPT-4 Turbo,weibull,-60.716711947369696
5,GPT-4 Turbo,exponential,-63.530379505657976
5,GPT-4 Turbo,logistic,-56.99361362147001
5,GPT-4o,weibull,-75.98639251001417
5,GPT-4o,exponential,-80.80468977364768
5,GPT-4o,logistic,-75.96175303699751
5,davinci-002 (GPT-3),weibull,-55.30141425301696
5,davinci-002 (GPT-3),exponential,-55.14571918628367
5,davinci-002 (GPT-3),logistic,-56.709931998234666
5,gpt-3.5-turbo-instruct,weibull,-20.460967181692958
5,gpt-3.5-turbo-instruct,exponential,-20.00319406011389
5,gpt-3.5-turbo-instruct,logistic,-18.263692687607975
5,o1,weibull,-79.83413525237246
5,o1,exponential,-83.47779169271033
5,o1,logistic,-81.09296128712826
5,o1-preview,weibull,-82.75150515233841
5,o1-preview,exponential,-86.7997315011818
5,o1-preview,logistic,-82.74085584339062
