,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
Logistic (Standard),0,-5210.76232684631,23.54196454023025,0.0,0.7996560460833354,65.67052400619589,0.0,False,log
Weibull (Varying),1,-5264.186202054181,30.87315973374325,53.42387520787111,0.20034395391673382,67.59593924374121,16.116740098749435,True,log
Exponential (Constant),2,-5650.448399737908,38.32573752739637,439.686072891599,0.0,96.27506499876581,50.945290012028536,True,log
